0.46311,0.76356,0.43244,0.46267,0.42533,0.49511,0.48578,0.46444,0.5,0.94118,0.45882,0.5,0.5,0.54706,0.48824,0.49412,0.5065,0.5,0.525,0.5015,0.5055,0.4645,0.497,0.5045,-0.193,0.043,0.996,0.73529,0.12941,0.41765,0.14118,0.5,0.5,0.5,0.5,0.52756,1.00533,0.38533,0.34,0.42533,0.49556,0.48622,0.46533,0.8,0.50588,0.40588,0.24706,0.50588,0.5,0.5,0.5,0.5445,0.5,0.5595,0.4605,0.5055,0.459,0.4955,0.4955,-0.164,0.171,1.026
0.68756,1.008,0.34267,0.20844,0.43022,0.48933,0.48578,0.46533,0.78824,0.50588,0.41176,0.24706,0.50588,0.45294,0.5,0.50588,0.5135,0.5,0.5525,0.4045,0.494,0.485,0.4975,0.4955,0.073,0.118,1.12,0.61765,0.37059,0.39412,0.15294,0.5,0.5,0.5,0.5,0.85556,0.96044,0.32,0.29867,0.428,0.49333,0.48578,0.46533,0.48824,0.42353,0.5,1.11176,0.50588,0.5,0.5,0.49412,0.437,0.5,0.5425,0.579,0.503,0.4715,0.4965,0.494,-0.608,-0.247,0.688
0.77733,1.01022,0.33244,0.62267,0.42978,0.49822,0.48444,0.46444,0.36471,0.5,0.5,1.12353,0.49412,0.5,0.48235,0.47059,0.478,0.5,0.6085,0.511,0.4945,0.447,0.5025,0.5035,-0.481,0.134,0.873,0.84118,0.50588,0.34706,0.14118,0.5,0.5,0.5,0.5,0.73111,1.01289,0.34756,0.68622,0.42978,0.49333,0.48489,0.46622,0.73529,0.5,0.5,0.22941,0.51176,0.46471,0.50588,0.51176,0.528,0.5,0.623,0.474,0.494,0.4685,0.5025,0.494,-0.69,-0.121,0.799
0.82267,1.01556,0.33778,0.54,0.42933,0.48622,0.48489,0.46622,0.66471,0.51176,0.42941,0.25882,0.5,0.5,0.5,0.51176,0.537,0.5,0.596,0.3015,0.4945,0.5035,0.502,0.494,-0.547,-0.044,0.839,0.45294,0.14706,0.5,0.16471,0.5,0.5,0.5,0.5,0.888,1.02178,0.32667,0.29378,0.42844,0.47867,0.48622,0.47244,0.30588,0.50588,0.5,0.4,0.51176,0.5,0.5,0.5,0.4465,0.5,0.594,0.2765,0.4945,0.5415,0.495,0.4935,0.065,0.215,0.997
0.75733,1.02,0.32711,0.25022,0.42933,0.47867,0.48578,0.46311,0.18235,0.5,0.5,0.46471,0.50588,0.5,0.49412,0.5,0.4425,0.5,0.62,0.299,0.4945,0.5415,0.4955,0.506,0.221,0.373,0.911,0.97059,0.90588,0.21765,0.17647,0.5,0.5,0.5,0.5,0.68711,1.01867,0.33244,0.30667,0.43022,0.47867,0.48578,0.464,1.01176,0.5,0.5,0.76471,0.50588,0.5,0.50588,0.48824,0.5325,0.5,0.629,0.399,0.494,0.5415,0.4985,0.5065,-0.33,0.299,1.12
0.90311,1.01733,0.33733,0.43156,0.42978,0.47867,0.48578,0.46622,0.87647,0.49412,0.5,0.74118,0.5,0.5,0.5,0.50588,0.5355,0.5,0.606,0.421,0.494,0.5415,0.497,0.4935,-0.467,0.0,0.896,0.35294,0.18235,0.5,0.14706,0.5,0.5,0.5,0.5,0.976,1.01556,0.33733,0.43867,0.42933,0.47956,0.48578,0.46489,0.24706,0.50588,0.5,0.15294,0.50588,0.5,0.5,0.49412,0.446,0.5,0.606,0.29,0.4945,0.5375,0.497,0.5035,0.068,0.315,0.854
0.74533,1.01644,0.33956,0.25111,0.43067,0.47911,0.48533,0.46356,-0.07059,0.50588,0.53529,0.17059,0.51176,0.5,0.5,0.5,0.4415,0.5,0.5965,0.321,0.4945,0.5395,0.499,0.506,0.243,0.391,0.841,0.97059,0.89412,0.24118,0.21176,0.5,0.5,0.5,0.5,0.55022,1.01778,0.34133,0.28222,0.444,0.47956,0.48133,0.46444,0.99412,0.49412,0.5,1.02353,0.49412,0.5,0.5,0.51176,0.5535,0.5,0.5605,0.4995,0.491,0.538,0.5175,0.4955,-0.222,0.244,0.949
0.832,1.01244,0.34178,0.54178,0.42711,0.47956,0.48667,0.46578,0.96471,0.49412,0.49412,1.02941,0.48824,0.5,0.49412,0.51176,0.517,0.5,0.529,0.5025,0.5055,0.538,0.492,0.494,-1.05,0.065,1.134,0.33529,0.09412,0.50588,0.14706,0.5,0.5,0.5,0.5,0.96933,1.01022,0.33556,0.68089,0.42889,0.488,0.48578,0.46489,0.27059,0.5,0.5,0.15882,0.5,0.5,0.5,0.50588,0.3785,0.5,0.5385,0.491,0.4965,0.4955,0.4955,0.4955,-0.58,0.012,0.847
0.664,1.01156,0.33289,0.51111,0.42889,0.488,0.48444,0.46089,-0.25882,0.50588,0.5,0.22353,0.5,0.5,0.5,0.48824,0.4795,0.5,0.5665,0.433,0.4965,0.4955,0.5025,0.506,-0.266,-0.086,1.01,0.97059,0.77647,0.29412,0.21765,0.5,0.5,0.5,0.5,0.43289,1.01822,0.324,0.25556,0.42756,0.48978,0.48711,0.46667,1.01176,0.47059,0.50588,0.30588,0.50588,0.5,0.5,0.41176,0.6345,0.5,0.624,0.4365,0.5055,0.488,0.491,0.4935,-0.602,-0.305,0.439
0.72667,0.98444,0.32533,0.19689,0.42978,0.48844,0.48444,0.46756,0.95882,0.73529,0.51765,0.45882,0.50588,0.5,0.49412,0.50588,0.568,0.5,0.6185,0.515,0.4945,0.4925,0.5025,0.4935,-0.866,0.022,0.626,0.29412,0.0,0.53529,0.11765,0.5,0.5,0.5,0.5,0.91511,0.97689,0.34356,0.30844,0.42933,0.48667,0.48622,0.46711,-0.06471,0.3,0.51176,0.82353,0.5,0.5,0.5,0.50588,0.4355,0.5,0.612,0.611,0.4945,0.5025,0.4955,0.494,-0.773,-0.57,0.481
